store_name,task_group,location,total_rows,non_sale_rows,coverage,notes
Hannaford,task_group_deli_counter,"Meredith Hannaford Store 03253, Meredith NH",92704.0,88486.0,2020-2025,FULL coverage all years
Jons,task_group_small_chains,,53328.0,0.0,2020-2025,FULL coverage all years
PriceRite Springfield,task_group_single_store_i,Springfield MA (rsid/425),31756.0,28021.0,2020-2025,Store-specific via rsid; FULL coverage
Striplings,task_group_coop_natural,,20328.0,0.0,2020-2025,FULL coverage all years
Stew Leonards,task_group_pdf_menus,,20235.0,20181.0,2020-2025,FULL coverage all years
GFS Store Mp131,task_group_single_store_p,Gordon Food Service Store Mp131,19914.0,19821.0,2020-2025,Store-specific via store ID mp131; FULL coverage
H-E-B,task_group_weekly_flyer,Victoria TX Store 92,17221.0,0.0,2020-2025,FULL coverage all years
Kosher Kaddy,task_group_ethnic_intl_3,Wimauma FL (single store + express location),10486.0,0.0,2020-2025,Single store in Tampa FL; FULL coverage; 10486 rows
Keemat,task_group_small_remaining_2,,4719.0,0.0,2020-2025,2 stores; FULL coverage
GFS Store Mp003,task_group_single_store_i,Gordon Food Service Store Mp003,2968.0,2893.0,2020-2025,Store-specific via store ID mp003; FULL coverage
Lolas,task_group_small_chains,,2915.0,0.0,2020-2025,FULL coverage all years
GFS Store Mp133,task_group_gfs_stores,Gordon Food Service Store Mp133,2852.0,0.0,2020-2025,Store-specific via dsr_id; coverage 2020-2025 (6 years)
