year,location_type,rows
2020,chain-wide,91057
2020,store-specific,18692
2020,city-level,15767
2020,unknown,11759
2021,chain-wide,109696
2021,store-specific,34428
2021,unknown,16460
2021,city-level,16310
2022,chain-wide,61098
2022,store-specific,22179
2022,city-level,19802
2022,unknown,17086
2023,chain-wide,118548
2023,store-specific,24797
2023,unknown,22021
2023,city-level,19366
2024,chain-wide,208550
2024,unknown,62122
2024,store-specific,26807
2024,city-level,14956
2025,chain-wide,185441
2025,store-specific,27827
2025,unknown,22778
2025,city-level,13555
